auc_roc,0.5290625,0.51875,0.5277083333333333,0.5366666666666666,0.5629166666666666,0.5704166666666667,0.5771875,0.5803124999999999,0.5830208333333333,0.5894791666666667,0.6032291666666667,0.6158333333333332,0.6253124999999999,0.6472916666666666,0.6580208333333333,0.6290625,0.6166666666666667,0.6211458333333333,0.6339583333333334,0.6330208333333334,0.6197916666666666,0.6164583333333333,0.6242708333333333,0.6478124999999999,0.6452083333333334,0.6553125,0.6705208333333333,0.6808333333333333,0.6821875,0.6844791666666666,0.6855208333333334,0.7017708333333333,0.7128125000000001,0.7143750000000001,0.7192708333333333,0.7255208333333334,0.7239583333333333,0.7386458333333333,0.7375,0.7213541666666667,0.6603125,0.669375,0.6763541666666666,0.6710416666666666,0.6742708333333333,0.6822916666666666,0.6761458333333333,0.6807291666666667,0.6825,0.6855208333333334,0.6879166666666666,0.6644791666666667,0.6565625,0.6384375000000001,0.6442708333333333,0.6383333333333333,0.6389583333333333,0.6317708333333334,0.6360416666666667,0.6154166666666667,0.6230208333333334,0.6253125,0.6292708333333334,0.6303125,0.6360416666666666,0.6417708333333334,0.6373958333333334,0.6340625,0.6242708333333333,0.6240625,0.6198958333333333,0.6107291666666667,0.6072916666666666,0.5984375,0.596875,0.6095833333333334,0.6034375000000001,0.6079166666666667,0.6034375,0.6042708333333333,0.6079166666666667,0.6170833333333333,0.618125,0.621875,0.6153124999999999,0.6161458333333334,0.6159375,0.6197916666666667,0.6331249999999999,0.6395833333333334,0.6398958333333334,0.6434375000000001,0.6436458333333333,0.6441666666666667,0.6466666666666666,0.6551041666666667,0.6569791666666667,0.6617708333333333,0.6684375,0.6735416666666667
auc_pr,0.06881837233325637,0.07249530426710134,0.07310030190004184,0.07775045977623533,0.07994368358131489,0.08185261271746028,0.08255502641683135,0.08295885224988135,0.08598082398576001,0.09286343382774132,0.09487206989006373,0.09554039664292242,0.09688001489057652,0.09964937673177086,0.09881584929898207,0.09607258939396769,0.0956169463597504,0.09634845030492152,0.0981177712390991,0.09854321491796261,0.0979275625313955,0.09508889695782297,0.09716298306364182,0.10053413995885815,0.09930430996053292,0.10208128706810869,0.10527431295890326,0.10731735489522268,0.10736204522405668,0.10778587758665455,0.10794326204129837,0.1081641131795619,0.10969355948870503,0.10930724345437018,0.1105081674320591,0.11200871666393647,0.1121280046546079,0.11584955132666759,0.11605704646386465,0.11091911239704734,0.10092701058234003,0.10229941559961274,0.10389110656867644,0.10307870452110676,0.10374364302626862,0.10506944845770437,0.10437211934947466,0.10574889975576988,0.10661577771808245,0.10731019261380881,0.10780530337885758,0.11498284598626475,0.11429488191144234,0.11292988930873175,0.11180329251285329,0.10847767429592273,0.10884131598177604,0.10786561858665575,0.10734814242614685,0.12181137742557457,0.12137404341694324,0.12099902841485659,0.12146500574294973,0.12030940117087192,0.11731287425074782,0.11718864273541756,0.11442576858806003,0.11059750962372925,0.10800740133221357,0.10787044445958044,0.10735801064115741,0.10668604737607341,0.10627609615272676,0.10530144020814554,0.1049405226664214,0.10615343681931003,0.10535962658062975,0.10583883972259783,0.10531864839330121,0.10556723402883259,0.10577906968309667,0.10523364685667985,0.10618038586888481,0.10691261845552028,0.10631073418305885,0.10643928487083243,0.10627706747344066,0.1067382478608954,0.10738340650778436,0.10772341197238285,0.10759578632488237,0.10810885299243189,0.1083297489924109,0.10911843375860321,0.10977821396228112,0.11086081318873398,0.11142491985382541,0.11237607712905874,0.11215109087954322,0.11195792331205436
auc_roc_bag,0.8125,0.875,0.6875,0.75,0.8125,0.8125,0.8125,0.8125,0.875,0.75,0.75,0.875,0.9375,0.9375,0.9375,0.9375,0.875,0.875,0.8125,0.875,0.9375,0.9375,0.875,0.8125,0.875,0.8125,0.8125,0.75,0.75,0.75,0.75,0.8125,0.75,0.75,0.75,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.8125,0.75,0.78125,0.78125,0.78125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
auc_pr_bag,0.3333333333333333,0.7083333333333333,0.2583333333333333,0.6333333333333333,0.6625,0.6625,0.6625,0.6625,0.7083333333333333,0.29166666666666663,0.2875,0.7083333333333333,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.41666666666666663,0.41666666666666663,0.3333333333333333,0.7083333333333333,0.7916666666666666,0.7916666666666666,0.41666666666666663,0.3333333333333333,0.41666666666666663,0.3333333333333333,0.3333333333333333,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.3333333333333333,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.3333333333333333,0.3333333333333333,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Date,2024-05-17
Time,156.6650471687317
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
Rewards bag 0,9.27092376273455e-07,1.6234736992019022e-06,1.0049483595115934e-06,1.6211619641568929e-06,5.431965607205508e-07,3.613490672540751e-07,2.797924329946368e-07,4.2257510670245485e-07,1.227294733181183e-06,2.251271823657502e-06,1.8458183583999894e-06,9.003071029517958e-07,6.10827217819626e-07,7.7535040178289e-07,1.9020964123169278e-06,1.0620303589971528e-06,3.797966608042696e-07,7.38568481445768e-07,5.339164946445054e-07,7.865695918170939e-07,1.0212303416984427e-06,1.1333185749306131e-06,1.1139113997118975e-06,1.0628933868184468e-06,1.4167679108989038e-06,1.2756276391659281e-06,7.986630731430497e-07,5.257582947799992e-07,2.6815613856119925e-07,1.6543158131366218e-06,1.1681774598152501e-06,1.0446707335946791e-06,1.7371656011051955e-06,2.785295065606376e-07,2.0813773501529823e-07,2.4346642993920254e-06,8.150841031495491e-07,3.348611254998499e-07,5.800652641645144e-07,1.6150359096664677e-06,6.037697919130882e-07,4.6280888425538316e-07,3.542733917397224e-07,4.3327721769269813e-07,4.6283269750139063e-07,3.784379517278622e-07,4.0454810556590437e-07,1.1274004967604517e-06,1.2900803711808115e-06,5.561323676504596e-07,8.078110371871293e-06,9.611313335091037e-07,1.6819835843976088e-06,1.6769504472401378e-06,7.216247995735661e-07,5.50164737116509e-07,1.0953142189133461e-06,4.3849277771897064e-07,5.415068630120948e-06,1.9185332895171275e-06,5.514489236254991e-07,8.714864526449093e-07,1.3529449304467427e-06,1.5387508139374276e-06,2.5684970197393246e-07,1.4366112630891665e-06,9.17101636702786e-07,4.44418736519952e-07,1.9847680265010756e-07,2.6919628258712365e-07,9.478238306838432e-07,2.428013611100359e-07,4.18945257981531e-07,1.822817413985701e-07,5.756659360258467e-07,4.01656710091308e-07,1.3550497131869943e-06,3.535545190012901e-07,1.1244963449255947e-06,5.376921792864832e-07,4.967329299400756e-07,3.271397865207925e-07,1.7973076313950945e-07,1.9729373735328497e-07,4.210342467556138e-07,2.842378385746184e-07,2.62093533566307e-07,5.792861350997377e-07,6.430604135900545e-07,1.4845451168151071e-06,2.1724767077506078e-07,2.586199246452116e-07,2.2301946339470336e-07,1.7079204244468087e-07,3.638997570470372e-07,1.1333655937895492e-07,2.2764466964215732e-07,6.875426129189672e-07,3.382425534517186e-07
Prob contr bag 0,0.009270923762735571,0.01623473699202081,0.01004948359511704,0.016211619641570713,0.005431965607206106,0.003613490672541149,0.002797924329946676,0.004225751067025014,0.012272947331813182,0.022512718236577498,0.018458183584001926,0.00900307102951895,0.0061082721781969326,0.007753504017829754,0.019020964123171374,0.010620303589972697,0.0037979666080431144,0.007385684814458493,0.005339164946445641,0.007865695918171805,0.010212303416985553,0.011333185749307379,0.011139113997120201,0.010628933868185638,0.014167679108990599,0.012756276391660687,0.007986630731431377,0.005257582947800571,0.002681561385612288,0.01654315813136804,0.011681774598153788,0.010446707335947943,0.01737165601105387,0.002785295065606683,0.0020813773501532117,0.024346642993922935,0.00815084103149639,0.0033486112549988675,0.005800652641645783,0.016150359096666456,0.006037697919131547,0.004628088842554341,0.003542733917397614,0.004332772176927458,0.004628326975014416,0.003784379517279039,0.004045481055659489,0.011274004967605758,0.012900803711809536,0.005561323676505209,0.08078110371872183,0.009611313335092096,0.01681983584397794,0.016769504472403225,0.007216247995736456,0.0055016473711656955,0.010953142189134667,0.004384927777190189,0.05415068630121544,0.019185332895173386,0.0055144892362555984,0.008714864526450053,0.013529449304468916,0.01538750813937597,0.0025684970197396074,0.014366112630893248,0.00917101636702887,0.00444418736520001,0.0019847680265012943,0.002691962825871533,0.009478238306839476,0.002428013611100627,0.0041894525798157715,0.0018228174139859016,0.005756659360259101,0.004016567100913523,0.013550497131871436,0.0035355451900132904,0.011244963449257185,0.005376921792865424,0.004967329299401303,0.0032713978652082853,0.0017973076313952925,0.001972937373533067,0.004210342467556602,0.0028423783857464972,0.0026209353356633587,0.005792861350998015,0.006430604135901253,0.014845451168152706,0.002172476707750847,0.0025861992464524006,0.0022301946339472792,0.0017079204244469968,0.0036389975704707728,0.001133365593789674,0.002276446696421824,0.00687542612919043,0.0033824255345175584
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
