auc_roc,0.4847883597883598,0.49301881246325685,0.5003674309229865,0.4994855967078189,0.4997795414462082
auc_pr,0.024744302065574923,0.02521109164720517,0.025543880723737814,0.02544274770741311,0.025500642360272614
auc_roc_bag,0.4375,0.4375,0.375,0.4375,0.375
auc_pr_bag,0.16309523809523807,0.16309523809523807,0.15476190476190474,0.16309523809523807,0.15476190476190474
Date,2024-05-21
Time,20.375940561294556
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
Rewards bag 0,1.605455101996639e-06,6.378199426045925e-07,4.076797322468588e-07,3.739798533234392e-07
Prob contr bag 0,0.01605455101996816,0.006378199426046628,0.004076797322469037,0.0037397985332348034
Align contr bag 0,0.0,0.0,0.0,0.0
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
